subset,image_id,image_size,mask_size,pair_status,image_path,mask_path
OTU_2D_train,1,959x537,959x537,MATCHED,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_image\1.JPG,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_label\label\1.PNG
OTU_2D_train,10,483x542,483x542,MATCHED,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_image\10.JPG,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_label\label\10.PNG
OTU_2D_train,100,958x531,958x531,MATCHED,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_image\100.JPG,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_label\label\100.PNG
OTU_2D_train,1000,959x532,959x532,MATCHED,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_image\1000.JPG,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_label\label\1000.PNG
OTU_2D_train,1001,480x530,480x530,MATCHED,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_image\1001.JPG,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_label\label\1001.PNG
OTU_2D_train,1006,961x528,961x528,MATCHED,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_image\1006.JPG,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_label\label\1006.PNG
OTU_2D_train,1007,956x532,956x532,MATCHED,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_image\1007.JPG,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_label\label\1007.PNG
OTU_2D_train,1008,954x530,954x530,MATCHED,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_image\1008.JPG,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_label\label\1008.PNG
OTU_2D_train,101,958x534,958x534,MATCHED,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_image\101.JPG,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_label\label\101.PNG
OTU_2D_train,1010,481x527,481x527,MATCHED,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_image\1010.JPG,c:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\dataset\OTU_2D\train\train_label\label\1010.PNG
