case_id,subset,modality,status,annotation_valid,is_empty_mask,image_width,image_height,mask_width,mask_height,positive_pixels,lesion_ratio_pct,image_path,mask_path
VINMEC_RAW_OTU_2D_test_89,VINMEC_RAW_UNANNOTATED,B-Mode 2D,UNANNOTATED_RAW,False,False,958,531,0,0,0,0.0,dataset/vinmec_ovarian/OTU_2D/test/image/89.JPG,NONE
VINMEC_RAW_OTU_2D_train_69,VINMEC_RAW_UNANNOTATED,B-Mode 2D,UNANNOTATED_RAW,False,False,959,660,0,0,0,0.0,dataset/vinmec_ovarian/OTU_2D/train/train_image/69.JPG,NONE
VINMEC_RAW_OTU_2D_train_451,VINMEC_RAW_UNANNOTATED,B-Mode 2D,UNANNOTATED_RAW,False,False,958,532,0,0,0,0.0,dataset/vinmec_ovarian/OTU_2D/train/train_image/451.JPG,NONE
VINMEC_RAW_OTU_2D_train_335,VINMEC_RAW_UNANNOTATED,B-Mode 2D,UNANNOTATED_RAW,False,False,1135,590,0,0,0,0.0,dataset/vinmec_ovarian/OTU_2D/train/train_image/335.JPG,NONE
VINMEC_RAW_OTU_2D_test_1082,VINMEC_RAW_UNANNOTATED,B-Mode 2D,UNANNOTATED_RAW,False,False,955,530,0,0,0,0.0,dataset/vinmec_ovarian/OTU_2D/test/image/1082.JPG,NONE
VINMEC_RAW_OTU_2D_test_504,VINMEC_RAW_UNANNOTATED,B-Mode 2D,UNANNOTATED_RAW,False,False,477,559,0,0,0,0.0,dataset/vinmec_ovarian/OTU_2D/test/image/504.JPG,NONE
VINMEC_RAW_OTU_2D_train_219,VINMEC_RAW_UNANNOTATED,B-Mode 2D,UNANNOTATED_RAW,False,False,481,530,0,0,0,0.0,dataset/vinmec_ovarian/OTU_2D/train/train_image/219.JPG,NONE
VINMEC_RAW_OTU_2D_train_1168,VINMEC_RAW_UNANNOTATED,B-Mode 2D,UNANNOTATED_RAW,False,False,568,589,0,0,0,0.0,dataset/vinmec_ovarian/OTU_2D/train/train_image/1168.JPG,NONE
VINMEC_RAW_OTU_2D_train_205,VINMEC_RAW_UNANNOTATED,B-Mode 2D,UNANNOTATED_RAW,False,False,955,661,0,0,0,0.0,dataset/vinmec_ovarian/OTU_2D/train/train_image/205.JPG,NONE
VINMEC_RAW_OTU_CEUS_122,VINMEC_RAW_UNANNOTATED,CEUS,UNANNOTATED_RAW,False,False,556,588,0,0,0,0.0,dataset/vinmec_ovarian/OTU_CEUS/image/122.JPG,NONE
