case_id,subset,modality,status,annotation_valid,image_width,image_height,mask_width,mask_height,positive_pixels,lesion_ratio_pct,image_path,mask_path
OTU_2D_train_364,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,958,562,958,562,92324,17.148,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_image\364.JPG,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_label\label\364.PNG
OTU_2D_train_769,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,388,524,388,524,52476,25.811,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_image\769.JPG,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_label\label\769.PNG
OTU_2D_train_538,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,480,549,480,549,68317,25.925,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_image\538.JPG,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_label\label\538.PNG
OTU_2D_train_167,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,479,534,479,534,5472,2.139,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_image\167.JPG,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_label\label\167.PNG
OTU_2D_train_744,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,958,543,958,543,67524,12.981,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_image\744.JPG,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_label\label\744.PNG
OTU_2D_train_713,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,479,288,479,288,54665,39.626,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_image\713.JPG,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_label\label\713.PNG
OTU_2D_train_499,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,483,549,483,549,4988,1.881,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_image\499.JPG,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_label\label\499.PNG
OTU_2D_train_1395,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,568,596,568,596,40960,12.099,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_image\1395.JPG,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_label\label\1395.PNG
OTU_2D_train_302,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,958,534,958,534,21860,4.273,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_image\302.JPG,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_label\label\302.PNG
OTU_2D_train_723,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,479,554,479,554,9387,3.537,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_image\723.JPG,C:\Users\PeaceD\Downloads\Khoa_Luan\dataset\dataset\OTU_2D\train\train_label\label\723.PNG
