case_id,subset,modality,status,annotation_valid,image_width,image_height,mask_width,mask_height,positive_pixels,lesion_ratio_pct,image_path,mask_path
OTU_2D_train_818,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,972,534,972,534,65077,12.538,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_image\818.JPG,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_label\label\818.PNG
OTU_2D_train_414,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,483,334,483,334,23435,14.527,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_image\414.JPG,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_label\label\414.PNG
OTU_2D_train_533,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,972,537,972,537,29814,5.712,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_image\533.JPG,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_label\label\533.PNG
OTU_2D_train_93,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,959,661,959,661,109973,17.349,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_image\93.JPG,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_label\label\93.PNG
OTU_CEUS_66,OTU_CEUS,CEUS,VALID_LESION_MASK,True,560,552,560,552,74064,23.96,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_CEUS\image\66.JPG,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_CEUS\label\66.PNG
OTU_2D_train_967,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,801,605,801,605,136299,28.126,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_image\967.JPG,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_label\label\967.PNG
OTU_2D_test_254,OTU_2D_test,B-Mode 2D,VALID_LESION_MASK,True,959,530,959,530,69153,13.606,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\test\image\254.JPG,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\test\label\black_write\254.PNG
OTU_2D_test_1073,OTU_2D_test,B-Mode 2D,VALID_LESION_MASK,True,958,523,958,523,125881,25.124,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\test\image\1073.JPG,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\test\label\black_write\1073.PNG
OTU_2D_test_539,OTU_2D_test,B-Mode 2D,VALID_LESION_MASK,True,477,558,477,558,70377,26.441,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\test\image\539.JPG,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\test\label\black_write\539.PNG
OTU_2D_train_174,OTU_2D_train,B-Mode 2D,VALID_LESION_MASK,True,478,534,478,534,55046,21.565,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_image\174.JPG,C:\Users\PeaceD_Dung\Documents\Khóa luận\dataset\vinmec_ovarian\OTU_2D\train\train_label\label\174.PNG
